S No.,Manufacturer/Importer Name and address,License Number,Name of Device and Device Class,Intended Use,Brand Name,Model Numbers,Issuing Authority,Action,Address,Intended,Price (INR),Specifications / Details
684,"MediCorp India Pvt Ltd, Cyber City, Phase 2, Gurgaon, Haryana",Licence no: MFG/MD/2021/00342 Issued on: 14-APR-2021,"Pacemaker, class type: Class C",Implanted to generate electrical impulses delivered by electrodes to cause the heart muscle chambers to contract.,Pace-X,Pace-1963X,SLA - Karnataka,,"Legal Manufacturing Site : MediCorp India Pvt Ltd Unit, Haryana",Implanted to generate electrical impulses delivered by electrodes to cause the heart muscle chambers to contract.,200000,Dimensions: Standard | Weight: Varies | Refer to manual for specs
685,"Spark Peripheral Technologies, Shop 1, Moolchand Market, New Delhi",Licence no: IMP/MD/2023/00899 Issued on: 01-JUL-2023,"Pacemaker, class type: Class C",Implanted to generate electrical impulses delivered by electrodes to cause the heart muscle chambers to contract.,Pace-Ultra,Pace-1561X,SLA - Telangana,,"Legal Manufacturing Site : Spark Peripheral Technologies Unit, New Delhi",Implanted to generate electrical impulses delivered by electrodes to cause the heart muscle chambers to contract.,150000,Dimensions: Standard | Weight: Varies | Refer to manual for specs
686,"Pioneer Health Systems, Sector V, Salt Lake, Kolkata, West Bengal",Licence no: IMP/MD/2023/00869 Issued on: 26-DEC-2023,"Pacemaker, class type: Class C",Implanted to generate electrical impulses delivered by electrodes to cause the heart muscle chambers to contract.,Pace-Basic,Pace-1786A,CLA - CDSCO,,"Legal Manufacturing Site : Pioneer Health Systems Unit, West Bengal",Implanted to generate electrical impulses delivered by electrodes to cause the heart muscle chambers to contract.,250000,Dimensions: Standard | Weight: Varies | Refer to manual for specs
687,"MediCorp India Pvt Ltd, Cyber City, Phase 2, Gurgaon, Haryana",Licence no: IMP/MD/2018/00739 Issued on: 16-MAR-2018,"Phototherapy Unit, class type: Class B",Uses light to treat neonatal jaundice.,Photo-Basic,Photo-2135A,SLA - Maharashtra,,"Legal Manufacturing Site : MediCorp India Pvt Ltd Unit, Haryana",Uses light to treat neonatal jaundice.,39000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
688,"Spark Peripheral Technologies, Shop 1, Moolchand Market, New Delhi",Licence no: MFG/MD/2022/00952 Issued on: 08-JUN-2022,"Phototherapy Unit, class type: Class B",Uses light to treat neonatal jaundice.,Photo-Elite,Photo-6815A,CLA - CDSCO,,"Legal Manufacturing Site : Spark Peripheral Technologies Unit, New Delhi",Uses light to treat neonatal jaundice.,36000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
689,"Pioneer Health Systems, Sector V, Salt Lake, Kolkata, West Bengal",Licence no: MFG/MD/2020/00890 Issued on: 14-AUG-2020,"Phototherapy Unit, class type: Class B",Uses light to treat neonatal jaundice.,Photo-Basic,Photo-6685A,SLA - Karnataka,,"Legal Manufacturing Site : Pioneer Health Systems Unit, West Bengal",Uses light to treat neonatal jaundice.,24000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
690,"Apex Surgical Imports, 12, GIDC, Makarpura, Vadodara, Gujarat",Licence no: MFG/MD/2019/00811 Issued on: 10-JUL-2019,"Phototherapy Unit, class type: Class B",Uses light to treat neonatal jaundice.,Photo-Max,Photo-9130A,CLA - CDSCO,,"Legal Manufacturing Site : Apex Surgical Imports Unit, Gujarat",Uses light to treat neonatal jaundice.,23000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
691,"Astra Medical Supplies, Ring Road, Surat, Gujarat",Licence no: MFG/MD/2021/00770 Issued on: 22-FEB-2021,"Suction Pump, class type: Class B","Removes bodily secretions, such as mucus or saliva, from the respiratory tract.",Suct-Pro,Suct-5868,SLA - Gujarat,,"Legal Manufacturing Site : Astra Medical Supplies Unit, Gujarat","Removes bodily secretions, such as mucus or saliva, from the respiratory tract.",25000,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
692,"Astra Medical Supplies, Ring Road, Surat, Gujarat",Licence no: MFG/MD/2018/00897 Issued on: 16-AUG-2018,"Suction Pump, class type: Class B","Removes bodily secretions, such as mucus or saliva, from the respiratory tract.",Suct-Ultra,Suct-3836B,SLA - Karnataka,,"Legal Manufacturing Site : Astra Medical Supplies Unit, Gujarat","Removes bodily secretions, such as mucus or saliva, from the respiratory tract.",12000,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
693,"MediCorp India Pvt Ltd, Cyber City, Phase 2, Gurgaon, Haryana",Licence no: IMP/MD/2022/00623 Issued on: 17-JUL-2022,"Suction Pump, class type: Class B","Removes bodily secretions, such as mucus or saliva, from the respiratory tract.",Suct-X,Suct-1439X,SLA - Delhi,,"Legal Manufacturing Site : MediCorp India Pvt Ltd Unit, Haryana","Removes bodily secretions, such as mucus or saliva, from the respiratory tract.",15000,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
694,"Quantum Care Co., Jubilee Hills, Hyderabad, Telangana",Licence no: MFG/MD/2018/00202 Issued on: 27-OCT-2018,"Suction Pump, class type: Class B","Removes bodily secretions, such as mucus or saliva, from the respiratory tract.",Suct-Advance,Suct-9723A,SLA - Gujarat,,"Legal Manufacturing Site : Quantum Care Co. Unit, Telangana","Removes bodily secretions, such as mucus or saliva, from the respiratory tract.",7500,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
695,"Spark Peripheral Technologies, Shop 1, Moolchand Market, New Delhi",Licence no: MFG/MD/2018/00612 Issued on: 26-OCT-2018,"Suction Pump, class type: Class B","Removes bodily secretions, such as mucus or saliva, from the respiratory tract.",Suct-Max,Suct-2502,SLA - Gujarat,,"Legal Manufacturing Site : Spark Peripheral Technologies Unit, New Delhi","Removes bodily secretions, such as mucus or saliva, from the respiratory tract.",6300,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
696,"NovaBio Tech, Phase 8, Industrial Area, Mohali, Punjab",Licence no: MFG/MD/2020/00203 Issued on: 01-NOV-2020,"Suction Pump, class type: Class B","Removes bodily secretions, such as mucus or saliva, from the respiratory tract.",Suct-Advance,Suct-9014A,SLA - Telangana,,"Legal Manufacturing Site : NovaBio Tech Unit, Punjab","Removes bodily secretions, such as mucus or saliva, from the respiratory tract.",8900,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
697,"Apex Surgical Imports, 12, GIDC, Makarpura, Vadodara, Gujarat",Licence no: IMP/MD/2019/00409 Issued on: 05-SEP-2019,"Surgical Laser, class type: Class C",Emits a highly concentrated beam of light to perform surgical procedures like cutting tissue.,LaserCut-Plus,LaserCut-3774X,SLA - Tamil Nadu,,"Legal Manufacturing Site : Apex Surgical Imports Unit, Gujarat",Emits a highly concentrated beam of light to perform surgical procedures like cutting tissue.,4210000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
698,"NovaBio Tech, Phase 8, Industrial Area, Mohali, Punjab",Licence no: IMP/MD/2018/00119 Issued on: 01-JAN-2018,"Surgical Laser, class type: Class C",Emits a highly concentrated beam of light to perform surgical procedures like cutting tissue.,LaserCut-X,LaserCut-3142B,CLA - CDSCO,,"Legal Manufacturing Site : NovaBio Tech Unit, Punjab",Emits a highly concentrated beam of light to perform surgical procedures like cutting tissue.,2460000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
699,"Quantum Care Co., Jubilee Hills, Hyderabad, Telangana",Licence no: IMP/MD/2019/00846 Issued on: 26-APR-2019,"Surgical Laser, class type: Class C",Emits a highly concentrated beam of light to perform surgical procedures like cutting tissue.,LaserCut-Elite,LaserCut-1039A,CLA - CDSCO,,"Legal Manufacturing Site : Quantum Care Co. Unit, Telangana",Emits a highly concentrated beam of light to perform surgical procedures like cutting tissue.,4820000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
700,"LifeCare Innovations, Tech Park, OMR, Chennai, Tamil Nadu",Licence no: IMP/MD/2021/00585 Issued on: 03-JUN-2021,"Surgical Laser, class type: Class C",Emits a highly concentrated beam of light to perform surgical procedures like cutting tissue.,LaserCut-X,LaserCut-5539,SLA - Tamil Nadu,,"Legal Manufacturing Site : LifeCare Innovations Unit, Tamil Nadu",Emits a highly concentrated beam of light to perform surgical procedures like cutting tissue.,4360000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
701,"MediCorp India Pvt Ltd, Cyber City, Phase 2, Gurgaon, Haryana",Licence no: IMP/MD/2024/00270 Issued on: 15-DEC-2024,"Arthroscopy Tower System, class type: Class C",A complete video and illumination system used for minimally invasive joint surgery (arthroscopy).,ArthroVision-X,ArthroVision-2433A,SLA - Delhi,,"Legal Manufacturing Site : MediCorp India Pvt Ltd Unit, Haryana",A complete video and illumination system used for minimally invasive joint surgery (arthroscopy).,2170000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
702,"Spark Peripheral Technologies, Shop 1, Moolchand Market, New Delhi",Licence no: IMP/MD/2020/00627 Issued on: 20-MAR-2020,"Arthroscopy Tower System, class type: Class C",A complete video and illumination system used for minimally invasive joint surgery (arthroscopy).,ArthroVision-Ultra,ArthroVision-9931X,SLA - Karnataka,,"Legal Manufacturing Site : Spark Peripheral Technologies Unit, New Delhi",A complete video and illumination system used for minimally invasive joint surgery (arthroscopy).,1750000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
703,"LifeCare Innovations, Tech Park, OMR, Chennai, Tamil Nadu",Licence no: IMP/MD/2024/00814 Issued on: 04-SEP-2024,"Arthroscopy Tower System, class type: Class C",A complete video and illumination system used for minimally invasive joint surgery (arthroscopy).,ArthroVision-Ultra,ArthroVision-7519,SLA - Delhi,,"Legal Manufacturing Site : LifeCare Innovations Unit, Tamil Nadu",A complete video and illumination system used for minimally invasive joint surgery (arthroscopy).,1590000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
704,"Zenith Medical Devices, Tower B, BKC, Bandra East, Mumbai, Maharashtra",Licence no: IMP/MD/2018/00640 Issued on: 26-OCT-2018,"Arthroscopy Tower System, class type: Class C",A complete video and illumination system used for minimally invasive joint surgery (arthroscopy).,ArthroVision-Advance,ArthroVision-9389A,SLA - Telangana,,"Legal Manufacturing Site : Zenith Medical Devices Unit, Maharashtra",A complete video and illumination system used for minimally invasive joint surgery (arthroscopy).,2480000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
705,"Zenith Medical Devices, Tower B, BKC, Bandra East, Mumbai, Maharashtra",Licence no: MFG/MD/2018/00547 Issued on: 22-AUG-2018,"Arthroscopy Tower System, class type: Class C",A complete video and illumination system used for minimally invasive joint surgery (arthroscopy).,ArthroVision-Plus,ArthroVision-8450X,CLA - CDSCO,,"Legal Manufacturing Site : Zenith Medical Devices Unit, Maharashtra",A complete video and illumination system used for minimally invasive joint surgery (arthroscopy).,2900000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
706,"Spark Peripheral Technologies, Shop 1, Moolchand Market, New Delhi",Licence no: MFG/MD/2019/00365 Issued on: 27-DEC-2019,"Arthroscopy Tower System, class type: Class C",A complete video and illumination system used for minimally invasive joint surgery (arthroscopy).,ArthroVision-Basic,ArthroVision-3615A,CLA - CDSCO,,"Legal Manufacturing Site : Spark Peripheral Technologies Unit, New Delhi",A complete video and illumination system used for minimally invasive joint surgery (arthroscopy).,2120000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
707,"Apex Surgical Imports, 12, GIDC, Makarpura, Vadodara, Gujarat",Licence no: MFG/MD/2022/00765 Issued on: 02-JUN-2022,"Arthroscopy Tower System, class type: Class C",A complete video and illumination system used for minimally invasive joint surgery (arthroscopy).,ArthroVision-Basic,ArthroVision-6012X,SLA - Karnataka,,"Legal Manufacturing Site : Apex Surgical Imports Unit, Gujarat",A complete video and illumination system used for minimally invasive joint surgery (arthroscopy).,2240000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
708,"Spark Peripheral Technologies, Shop 1, Moolchand Market, New Delhi",Licence no: MFG/MD/2022/00757 Issued on: 17-APR-2022,"Arthroscopy Tower System, class type: Class C",A complete video and illumination system used for minimally invasive joint surgery (arthroscopy).,ArthroVision-Pro,ArthroVision-5562A,SLA - Maharashtra,,"Legal Manufacturing Site : Spark Peripheral Technologies Unit, New Delhi",A complete video and illumination system used for minimally invasive joint surgery (arthroscopy).,2440000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
709,"Zenith Medical Devices, Tower B, BKC, Bandra East, Mumbai, Maharashtra",Licence no: MFG/MD/2021/00579 Issued on: 02-JUL-2021,"C-Arm Fluoroscopy System, class type: Class C",Provides real-time high-resolution X-ray images to guide surgeons during orthopedic procedures.,OrthoView-Elite,OrthoView-6321,SLA - Delhi,,"Legal Manufacturing Site : Zenith Medical Devices Unit, Maharashtra",Provides real-time high-resolution X-ray images to guide surgeons during orthopedic procedures.,1900000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
710,"Quantum Care Co., Jubilee Hills, Hyderabad, Telangana",Licence no: MFG/MD/2022/00205 Issued on: 17-MAR-2022,"C-Arm Fluoroscopy System, class type: Class C",Provides real-time high-resolution X-ray images to guide surgeons during orthopedic procedures.,OrthoView-Elite,OrthoView-2678B,CLA - CDSCO,,"Legal Manufacturing Site : Quantum Care Co. Unit, Telangana",Provides real-time high-resolution X-ray images to guide surgeons during orthopedic procedures.,3470000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
711,"Apex Surgical Imports, 12, GIDC, Makarpura, Vadodara, Gujarat",Licence no: MFG/MD/2023/00372 Issued on: 03-FEB-2023,"C-Arm Fluoroscopy System, class type: Class C",Provides real-time high-resolution X-ray images to guide surgeons during orthopedic procedures.,OrthoView-X,OrthoView-1597B,SLA - Telangana,,"Legal Manufacturing Site : Apex Surgical Imports Unit, Gujarat",Provides real-time high-resolution X-ray images to guide surgeons during orthopedic procedures.,2870000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
712,"Pioneer Health Systems, Sector V, Salt Lake, Kolkata, West Bengal",Licence no: MFG/MD/2024/00478 Issued on: 08-NOV-2024,"C-Arm Fluoroscopy System, class type: Class C",Provides real-time high-resolution X-ray images to guide surgeons during orthopedic procedures.,OrthoView-Ultra,OrthoView-1913X,SLA - Karnataka,,"Legal Manufacturing Site : Pioneer Health Systems Unit, West Bengal",Provides real-time high-resolution X-ray images to guide surgeons during orthopedic procedures.,2540000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
713,"Global Health Solutions, Plot 45, Industrial Area, Peenya, Bangalore",Licence no: MFG/MD/2021/00757 Issued on: 21-NOV-2021,"C-Arm Fluoroscopy System, class type: Class C",Provides real-time high-resolution X-ray images to guide surgeons during orthopedic procedures.,OrthoView-Basic,OrthoView-2788X,CLA - CDSCO,,"Legal Manufacturing Site : Global Health Solutions Unit, Bangalore",Provides real-time high-resolution X-ray images to guide surgeons during orthopedic procedures.,3080000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
714,"Astra Medical Supplies, Ring Road, Surat, Gujarat",Licence no: MFG/MD/2022/00845 Issued on: 11-FEB-2022,"C-Arm Fluoroscopy System, class type: Class C",Provides real-time high-resolution X-ray images to guide surgeons during orthopedic procedures.,OrthoView-Basic,OrthoView-4784X,SLA - Tamil Nadu,,"Legal Manufacturing Site : Astra Medical Supplies Unit, Gujarat",Provides real-time high-resolution X-ray images to guide surgeons during orthopedic procedures.,3240000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
715,"Spark Peripheral Technologies, Shop 1, Moolchand Market, New Delhi",Licence no: IMP/MD/2022/00573 Issued on: 25-FEB-2022,"Cervical Collar (Rigid), class type: Class A",An orthopedic medical device used to support the patient's neck and spinal cord.,SpineAlign-Basic,SpineAlign-8980,SLA - Maharashtra,,"Legal Manufacturing Site : Spark Peripheral Technologies Unit, New Delhi",An orthopedic medical device used to support the patient's neck and spinal cord.,870,Dimensions: Standard | Weight: Varies | Refer to manual for specs
716,"Global Health Solutions, Plot 45, Industrial Area, Peenya, Bangalore",Licence no: MFG/MD/2021/00849 Issued on: 21-JUL-2021,"Cervical Collar (Rigid), class type: Class A",An orthopedic medical device used to support the patient's neck and spinal cord.,SpineAlign-Basic,SpineAlign-7491,SLA - Gujarat,,"Legal Manufacturing Site : Global Health Solutions Unit, Bangalore",An orthopedic medical device used to support the patient's neck and spinal cord.,530,Dimensions: Standard | Weight: Varies | Refer to manual for specs
717,"MediCorp India Pvt Ltd, Cyber City, Phase 2, Gurgaon, Haryana",Licence no: MFG/MD/2018/00726 Issued on: 01-JUN-2018,"Cervical Collar (Rigid), class type: Class A",An orthopedic medical device used to support the patient's neck and spinal cord.,SpineAlign-X,SpineAlign-3340,SLA - Tamil Nadu,,"Legal Manufacturing Site : MediCorp India Pvt Ltd Unit, Haryana",An orthopedic medical device used to support the patient's neck and spinal cord.,1900,Dimensions: Standard | Weight: Varies | Refer to manual for specs
718,"Spark Peripheral Technologies, Shop 1, Moolchand Market, New Delhi",Licence no: IMP/MD/2018/00672 Issued on: 26-AUG-2018,"Cervical Collar (Rigid), class type: Class A",An orthopedic medical device used to support the patient's neck and spinal cord.,SpineAlign-X,SpineAlign-1027X,SLA - Karnataka,,"Legal Manufacturing Site : Spark Peripheral Technologies Unit, New Delhi",An orthopedic medical device used to support the patient's neck and spinal cord.,2400,Dimensions: Standard | Weight: Varies | Refer to manual for specs
719,"Global Health Solutions, Plot 45, Industrial Area, Peenya, Bangalore",Licence no: MFG/MD/2023/00942 Issued on: 04-AUG-2023,"Cervical Collar (Rigid), class type: Class A",An orthopedic medical device used to support the patient's neck and spinal cord.,SpineAlign-Pro,SpineAlign-3252,SLA - Karnataka,,"Legal Manufacturing Site : Global Health Solutions Unit, Bangalore",An orthopedic medical device used to support the patient's neck and spinal cord.,1700,Dimensions: Standard | Weight: Varies | Refer to manual for specs
720,"Astra Medical Supplies, Ring Road, Surat, Gujarat",Licence no: MFG/MD/2023/00463 Issued on: 14-MAY-2023,"Cervical Collar (Rigid), class type: Class A",An orthopedic medical device used to support the patient's neck and spinal cord.,SpineAlign-Pro,SpineAlign-6382X,CLA - CDSCO,,"Legal Manufacturing Site : Astra Medical Supplies Unit, Gujarat",An orthopedic medical device used to support the patient's neck and spinal cord.,1600,Dimensions: Standard | Weight: Varies | Refer to manual for specs
721,"Pioneer Health Systems, Sector V, Salt Lake, Kolkata, West Bengal",Licence no: MFG/MD/2020/00482 Issued on: 28-NOV-2020,"Cortical Bone Screw, class type: Class C",Used independently or alongside bone plates for internal fixation of bone fractures.,CortiScrew-Max,CortiScrew-8163A,CLA - CDSCO,,"Legal Manufacturing Site : Pioneer Health Systems Unit, West Bengal",Used independently or alongside bone plates for internal fixation of bone fractures.,530,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
722,"MediCorp India Pvt Ltd, Cyber City, Phase 2, Gurgaon, Haryana",Licence no: IMP/MD/2019/00109 Issued on: 11-AUG-2019,"Cortical Bone Screw, class type: Class C",Used independently or alongside bone plates for internal fixation of bone fractures.,CortiScrew-Ultra,CortiScrew-4675X,SLA - Maharashtra,,"Legal Manufacturing Site : MediCorp India Pvt Ltd Unit, Haryana",Used independently or alongside bone plates for internal fixation of bone fractures.,1700,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
723,"Pioneer Health Systems, Sector V, Salt Lake, Kolkata, West Bengal",Licence no: IMP/MD/2024/00144 Issued on: 07-MAY-2024,"Cortical Bone Screw, class type: Class C",Used independently or alongside bone plates for internal fixation of bone fractures.,CortiScrew-Pro,CortiScrew-5943A,SLA - Karnataka,,"Legal Manufacturing Site : Pioneer Health Systems Unit, West Bengal",Used independently or alongside bone plates for internal fixation of bone fractures.,2900,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
724,"Global Health Solutions, Plot 45, Industrial Area, Peenya, Bangalore",Licence no: MFG/MD/2019/00128 Issued on: 11-JAN-2019,"Cortical Bone Screw, class type: Class C",Used independently or alongside bone plates for internal fixation of bone fractures.,CortiScrew-Advance,CortiScrew-1033,SLA - Maharashtra,,"Legal Manufacturing Site : Global Health Solutions Unit, Bangalore",Used independently or alongside bone plates for internal fixation of bone fractures.,2700,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
725,"NovaBio Tech, Phase 8, Industrial Area, Mohali, Punjab",Licence no: IMP/MD/2019/00893 Issued on: 01-DEC-2019,"Cortical Bone Screw, class type: Class C",Used independently or alongside bone plates for internal fixation of bone fractures.,CortiScrew-Advance,CortiScrew-6293A,SLA - Tamil Nadu,,"Legal Manufacturing Site : NovaBio Tech Unit, Punjab",Used independently or alongside bone plates for internal fixation of bone fractures.,1300,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
726,"Spark Peripheral Technologies, Shop 1, Moolchand Market, New Delhi",Licence no: IMP/MD/2023/00805 Issued on: 10-MAY-2023,"Cortical Bone Screw, class type: Class C",Used independently or alongside bone plates for internal fixation of bone fractures.,CortiScrew-Ultra,CortiScrew-6414X,SLA - Telangana,,"Legal Manufacturing Site : Spark Peripheral Technologies Unit, New Delhi",Used independently or alongside bone plates for internal fixation of bone fractures.,2000,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
727,"Apex Surgical Imports, 12, GIDC, Makarpura, Vadodara, Gujarat",Licence no: IMP/MD/2019/00564 Issued on: 16-SEP-2019,"Cortical Bone Screw, class type: Class C",Used independently or alongside bone plates for internal fixation of bone fractures.,CortiScrew-Max,CortiScrew-1157,SLA - Tamil Nadu,,"Legal Manufacturing Site : Apex Surgical Imports Unit, Gujarat",Used independently or alongside bone plates for internal fixation of bone fractures.,3000,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
728,"Global Health Solutions, Plot 45, Industrial Area, Peenya, Bangalore",Licence no: IMP/MD/2020/00616 Issued on: 05-AUG-2020,"Cortical Bone Screw, class type: Class C",Used independently or alongside bone plates for internal fixation of bone fractures.,CortiScrew-X,CortiScrew-1553A,CLA - CDSCO,,"Legal Manufacturing Site : Global Health Solutions Unit, Bangalore",Used independently or alongside bone plates for internal fixation of bone fractures.,2300,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
729,"Pioneer Health Systems, Sector V, Salt Lake, Kolkata, West Bengal",Licence no: MFG/MD/2023/00966 Issued on: 09-JUN-2023,"Electric Bone Saw, class type: Class B",A surgical power tool used to cut through bones during joint replacements or amputations.,SurgiSaw-Plus,SurgiSaw-3031A,SLA - Telangana,,"Legal Manufacturing Site : Pioneer Health Systems Unit, West Bengal",A surgical power tool used to cut through bones during joint replacements or amputations.,120000,Dimensions: 15-20 cm length | Weight: ~100-500 g | Material: Stainless Steel/Alloy
730,"Zenith Medical Devices, Tower B, BKC, Bandra East, Mumbai, Maharashtra",Licence no: MFG/MD/2019/00834 Issued on: 16-NOV-2019,"Electric Bone Saw, class type: Class B",A surgical power tool used to cut through bones during joint replacements or amputations.,SurgiSaw-X,SurgiSaw-9221,SLA - Maharashtra,,"Legal Manufacturing Site : Zenith Medical Devices Unit, Maharashtra",A surgical power tool used to cut through bones during joint replacements or amputations.,220000,Dimensions: 15-20 cm length | Weight: ~100-500 g | Material: Stainless Steel/Alloy
731,"Zenith Medical Devices, Tower B, BKC, Bandra East, Mumbai, Maharashtra",Licence no: MFG/MD/2021/00270 Issued on: 26-JAN-2021,"Electric Bone Saw, class type: Class B",A surgical power tool used to cut through bones during joint replacements or amputations.,SurgiSaw-Pro,SurgiSaw-5332B,CLA - CDSCO,,"Legal Manufacturing Site : Zenith Medical Devices Unit, Maharashtra",A surgical power tool used to cut through bones during joint replacements or amputations.,240000,Dimensions: 15-20 cm length | Weight: ~100-500 g | Material: Stainless Steel/Alloy
732,"Global Health Solutions, Plot 45, Industrial Area, Peenya, Bangalore",Licence no: MFG/MD/2023/00842 Issued on: 23-MAY-2023,"Electric Bone Saw, class type: Class B",A surgical power tool used to cut through bones during joint replacements or amputations.,SurgiSaw-Elite,SurgiSaw-3116B,SLA - Maharashtra,,"Legal Manufacturing Site : Global Health Solutions Unit, Bangalore",A surgical power tool used to cut through bones during joint replacements or amputations.,230000,Dimensions: 15-20 cm length | Weight: ~100-500 g | Material: Stainless Steel/Alloy
733,"Spark Peripheral Technologies, Shop 1, Moolchand Market, New Delhi",Licence no: IMP/MD/2021/00337 Issued on: 27-AUG-2021,"Electric Bone Saw, class type: Class B",A surgical power tool used to cut through bones during joint replacements or amputations.,SurgiSaw-Advance,SurgiSaw-9935X,SLA - Delhi,,"Legal Manufacturing Site : Spark Peripheral Technologies Unit, New Delhi",A surgical power tool used to cut through bones during joint replacements or amputations.,200000,Dimensions: 15-20 cm length | Weight: ~100-500 g | Material: Stainless Steel/Alloy
734,"Apex Surgical Imports, 12, GIDC, Makarpura, Vadodara, Gujarat",Licence no: IMP/MD/2023/00612 Issued on: 26-OCT-2023,"Electric Bone Saw, class type: Class B",A surgical power tool used to cut through bones during joint replacements or amputations.,SurgiSaw-Pro,SurgiSaw-6042A,CLA - CDSCO,,"Legal Manufacturing Site : Apex Surgical Imports Unit, Gujarat",A surgical power tool used to cut through bones during joint replacements or amputations.,130000,Dimensions: 15-20 cm length | Weight: ~100-500 g | Material: Stainless Steel/Alloy
735,"Pioneer Health Systems, Sector V, Salt Lake, Kolkata, West Bengal",Licence no: IMP/MD/2020/00146 Issued on: 07-SEP-2020,"Electric Bone Saw, class type: Class B",A surgical power tool used to cut through bones during joint replacements or amputations.,SurgiSaw-Pro,SurgiSaw-7194A,SLA - Tamil Nadu,,"Legal Manufacturing Site : Pioneer Health Systems Unit, West Bengal",A surgical power tool used to cut through bones during joint replacements or amputations.,240000,Dimensions: 15-20 cm length | Weight: ~100-500 g | Material: Stainless Steel/Alloy
736,"Apex Surgical Imports, 12, GIDC, Makarpura, Vadodara, Gujarat",Licence no: MFG/MD/2024/00804 Issued on: 28-AUG-2024,"Electric Bone Saw, class type: Class B",A surgical power tool used to cut through bones during joint replacements or amputations.,SurgiSaw-Pro,SurgiSaw-4850,CLA - CDSCO,,"Legal Manufacturing Site : Apex Surgical Imports Unit, Gujarat",A surgical power tool used to cut through bones during joint replacements or amputations.,220000,Dimensions: 15-20 cm length | Weight: ~100-500 g | Material: Stainless Steel/Alloy
737,"Pioneer Health Systems, Sector V, Salt Lake, Kolkata, West Bengal",Licence no: IMP/MD/2019/00589 Issued on: 20-JUL-2019,"Electric Bone Saw, class type: Class B",A surgical power tool used to cut through bones during joint replacements or amputations.,SurgiSaw-Max,SurgiSaw-6615B,SLA - Delhi,,"Legal Manufacturing Site : Pioneer Health Systems Unit, West Bengal",A surgical power tool used to cut through bones during joint replacements or amputations.,150000,Dimensions: 15-20 cm length | Weight: ~100-500 g | Material: Stainless Steel/Alloy
